Interaction_ID,Interaction_Type,Interaction_Outcome,Follow_Up_Required,Interaction_Channel,Follow_Up_Date,Customer_ID,Agent_ID
3815,In-Person,Pending,Yes,Web Chat,10/18/2024,4101,7751
4825,Chat,Escalated,No,Web Chat,N/A,9808,7490
2087,In-Person,Pending,No,Call,11/5/2024,9578,3858
6100,Email,In-Progress,No,Call,N/A,9945,6903
5208,Email,In-Progress,Yes,In-Person,10/30/2024,7912,3073
3449,In-Person,Escalated,No,In-Person,N/A,4470,8794
9944,Chat,Escalated,No,Call,11/6/2024,4506,5911
9360,Chat,In-Progress,Yes,In-Person,N/A,8156,1379
6046,Email,In-Progress,Yes,Web Chat,N/A,8658,8515
5228,Phone,Resolved,No,In-Person,N/A,6070,8310
4529,Email,Pending,Yes,Call,10/22/2024,8675,5204
8294,Phone,Escalated,No,Call,11/1/2024,5952,6633
2356,Email,Resolved,Yes,Web Chat,10/12/2024,6851,1078
4362,Chat,Pending,Yes,Email,N/A,4023,9355
9428,Chat,Resolved,No,Call,11/6/2024,6333,3022
3457,In-Person,Resolved,No,Call,N/A,6895,4930
3359,Phone,Resolved,Yes,Call,N/A,3307,5756
9728,In-Person,Pending,Yes,In-Person,11/3/2024,5165,7188
9441,Phone,In-Progress,No,Email,11/1/2024,5983,9019
9884,Email,Pending,Yes,Web Chat,N/A,3970,3382
4923,Email,Resolved,Yes,Web Chat,10/13/2024,5222,6029
4930,Email,Resolved,No,Call,10/13/2024,4998,2517
2218,Phone,Resolved,Yes,Web Chat,N/A,4900,4682
7635,Email,Pending,No,Web Chat,N/A,8563,4223
9732,Phone,In-Progress,Yes,Web Chat,N/A,9845,4500
6401,Email,Resolved,Yes,Web Chat,10/31/2024,5095,2322
5458,Phone,Pending,No,Call,10/22/2024,9586,3301
8337,Email,In-Progress,Yes,Email,N/A,7039,3881
9436,Phone,In-Progress,No,Email,11/4/2024,8601,6358
7688,Chat,Resolved,No,Email,N/A,4363,1577
9087,Email,Pending,No,Email,11/7/2024,7754,6702
5759,Email,Pending,Yes,Call,10/21/2024,4843,1609
4069,Phone,Pending,No,Web Chat,N/A,9158,6441
8692,Phone,Pending,No,Email,N/A,7600,9804
7156,Email,Escalated,No,In-Person,10/11/2024,3832,7645
8614,Chat,In-Progress,Yes,In-Person,10/26/2024,3402,6925
6535,In-Person,Resolved,No,In-Person,10/21/2024,7656,1355
5146,In-Person,Pending,Yes,Web Chat,10/19/2024,5826,6481
7546,Email,In-Progress,No,Web Chat,N/A,3805,6522
5424,In-Person,In-Progress,No,Web Chat,N/A,4799,8329
5018,Phone,Escalated,Yes,Web Chat,N/A,6548,6323
3619,Chat,Resolved,Yes,Email,10/11/2024,8684,7920
5040,In-Person,Pending,Yes,In-Person,N/A,3200,4190
6203,Email,In-Progress,Yes,Call,N/A,7940,6730
2909,Phone,Escalated,Yes,Web Chat,N/A,3195,4657
2510,Phone,In-Progress,No,Email,10/17/2024,3663,5441
4062,Email,Resolved,No,In-Person,N/A,3518,9224
5407,Chat,In-Progress,Yes,In-Person,10/11/2024,4637,1365
3080,Chat,Escalated,Yes,Email,10/14/2024,4679,8637
6846,Email,Escalated,No,Call,N/A,6250,1894
6649,Phone,In-Progress,Yes,Email,10/16/2024,5681,8455
4341,Phone,In-Progress,No,Call,N/A,5095,6501
8703,Chat,In-Progress,No,In-Person,N/A,9471,5843
5399,Email,Escalated,Yes,Web Chat,11/4/2024,9446,2987
9447,Email,Escalated,No,Email,10/26/2024,3436,7398
3365,In-Person,Escalated,No,Email,N/A,5365,1118
5411,Chat,Escalated,Yes,Call,N/A,4903,4543
6277,Phone,Escalated,Yes,Web Chat,N/A,9906,1231
3320,Chat,In-Progress,No,Email,N/A,8817,4172
9182,Phone,Escalated,No,Call,N/A,7279,5211
7218,Chat,Escalated,Yes,In-Person,N/A,4308,7558
4640,Email,In-Progress,Yes,Call,10/19/2024,3915,6674
4322,Chat,Resolved,Yes,In-Person,N/A,3572,4415
9868,Chat,Pending,No,In-Person,N/A,9386,7990
2601,Email,Resolved,No,In-Person,N/A,7100,6693
7846,In-Person,Resolved,Yes,Web Chat,10/27/2024,4405,4719
3866,Chat,Resolved,No,Email,N/A,3691,9322
5964,Email,Resolved,Yes,Call,10/19/2024,9479,5135
8051,Chat,Resolved,No,Call,10/22/2024,3438,9278
7752,Phone,Escalated,No,In-Person,N/A,7479,7900
8474,Phone,In-Progress,Yes,In-Person,N/A,3571,3326
4484,Phone,Escalated,Yes,Web Chat,N/A,5730,1093
9067,Phone,Escalated,Yes,Email,N/A,9492,9667
6157,Email,In-Progress,Yes,Email,N/A,7357,4394
5485,Email,Pending,No,Email,10/19/2024,8040,8372
2592,Chat,Pending,No,Email,11/1/2024,9824,6492
2670,In-Person,Escalated,No,In-Person,N/A,8407,4286
3472,Phone,Pending,Yes,Call,11/4/2024,4567,8555
7953,Chat,In-Progress,Yes,Web Chat,N/A,6996,4016
4976,Phone,Escalated,No,Email,N/A,5221,2671
8160,Email,Escalated,No,Call,N/A,6163,7345
6721,Chat,Pending,No,Web Chat,10/9/2024,3785,6345
6186,Email,Pending,Yes,Call,10/10/2024,7886,7710
5646,Email,In-Progress,No,Web Chat,N/A,8174,8162
3119,In-Person,Pending,Yes,Call,N/A,8728,5546
2112,In-Person,In-Progress,Yes,Call,10/21/2024,6432,2951
9460,Phone,Pending,Yes,In-Person,10/11/2024,7746,9553
8224,Email,Escalated,No,Call,10/26/2024,5452,5287
6777,In-Person,Pending,No,Web Chat,11/1/2024,7562,8624
9323,Chat,Pending,Yes,Call,10/20/2024,6720,9454
7041,In-Person,Escalated,No,Email,N/A,9214,4216
7815,Email,In-Progress,Yes,Email,11/2/2024,8878,9965
3700,In-Person,In-Progress,No,Web Chat,N/A,7233,8748
2596,In-Person,In-Progress,Yes,Web Chat,N/A,8715,5827
5550,Phone,Resolved,Yes,Email,10/20/2024,7488,6162
8972,Phone,In-Progress,Yes,In-Person,N/A,7712,7488
6207,Phone,Escalated,Yes,In-Person,N/A,5575,8415
2564,Chat,Pending,No,In-Person,N/A,4928,3079
4439,Chat,Pending,No,In-Person,N/A,4226,8854
2061,Phone,Escalated,No,Web Chat,N/A,8434,3460
5984,In-Person,Resolved,No,Call,10/31/2024,8990,8743
9571,In-Person,In-Progress,Yes,Email,10/28/2024,7125,2001
9377,Chat,Resolved,No,Call,10/12/2024,7163,1535
7545,Email,Escalated,No,In-Person,N/A,7268,9052
8263,Phone,Escalated,No,Web Chat,N/A,7625,4431
3140,Phone,Resolved,Yes,Email,N/A,4033,4354
6495,Chat,Resolved,Yes,Call,N/A,4110,5061
3210,Phone,Resolved,No,Web Chat,N/A,3148,8375
2153,In-Person,Resolved,Yes,Email,N/A,7513,9534
2015,Phone,In-Progress,Yes,Web Chat,N/A,9154,9514
5148,Chat,Pending,Yes,Email,10/31/2024,3982,4268
3263,Phone,Pending,Yes,Email,10/26/2024,5837,6476
5801,Email,Pending,No,Call,N/A,3646,5288
7411,Phone,In-Progress,No,Call,N/A,6007,9898
6130,Phone,Escalated,Yes,Web Chat,N/A,6738,8902
5666,Email,Resolved,Yes,In-Person,N/A,3358,2481
9770,In-Person,Pending,Yes,In-Person,10/27/2024,3547,1677
7000,In-Person,Escalated,No,Call,N/A,6167,3604
6222,Email,In-Progress,No,Email,N/A,3078,8127
6712,Email,Pending,Yes,Email,N/A,4188,7873
8332,Chat,Resolved,No,Email,11/5/2024,9495,4548
7379,Email,Pending,No,In-Person,N/A,5538,7477
5886,Phone,Pending,Yes,Email,10/17/2024,7422,3381
4528,Email,In-Progress,Yes,Email,N/A,9540,4910
2611,Email,Pending,No,Email,11/7/2024,3136,7702
8855,In-Person,Escalated,Yes,Call,10/17/2024,8563,6078
7516,Chat,In-Progress,Yes,In-Person,N/A,4902,4689
5243,Chat,In-Progress,No,In-Person,N/A,4675,5284
5134,Chat,Escalated,Yes,In-Person,10/9/2024,6206,7619
6314,Phone,Pending,No,Web Chat,N/A,3906,8957
4745,Email,Pending,Yes,In-Person,10/18/2024,9144,9033
8638,Email,Pending,No,Call,10/9/2024,8802,8313
9761,In-Person,Resolved,Yes,Email,N/A,6821,9527
5043,Phone,Resolved,No,Email,10/23/2024,7939,5498
9000,Chat,Resolved,No,Call,N/A,8017,8178
5854,In-Person,In-Progress,Yes,In-Person,N/A,6546,2360
6441,Chat,Resolved,Yes,Web Chat,N/A,8766,9270
5031,Phone,Escalated,No,Call,10/19/2024,7287,2571
5405,Phone,Pending,Yes,Email,N/A,6980,1949
9759,Chat,Pending,No,Email,N/A,5069,9017
8605,Email,Pending,Yes,In-Person,10/13/2024,4325,5008
2654,In-Person,In-Progress,No,In-Person,N/A,7480,3723
5181,Phone,In-Progress,Yes,Email,10/14/2024,5275,8604
5852,Chat,Pending,No,In-Person,N/A,9729,7245
2325,In-Person,In-Progress,Yes,Web Chat,10/22/2024,9969,7414
7864,Email,Escalated,No,Web Chat,N/A,8063,8180
8016,In-Person,In-Progress,No,In-Person,10/23/2024,9638,8972
7973,Phone,Pending,Yes,In-Person,11/1/2024,9267,1997
3093,Email,Pending,Yes,Email,10/30/2024,9549,4061
3300,Phone,Pending,Yes,Call,N/A,4125,8472
4204,Phone,In-Progress,Yes,Call,11/6/2024,8899,5295
7425,In-Person,Pending,Yes,Web Chat,N/A,3073,2632
4487,Email,Pending,No,Web Chat,10/14/2024,3152,9579
3530,Phone,In-Progress,Yes,Call,N/A,7874,5374
6983,Chat,Resolved,No,Email,10/27/2024,7394,4489
4014,In-Person,Resolved,No,Email,10/18/2024,9923,3566
5565,Phone,In-Progress,No,Web Chat,10/20/2024,5147,5318
5474,Email,Escalated,Yes,In-Person,10/26/2024,6421,9624
5914,Email,In-Progress,Yes,Email,10/10/2024,4405,5282
7084,In-Person,Escalated,No,In-Person,N/A,6666,7805
6770,Phone,Resolved,Yes,Call,N/A,4569,5955
3298,Chat,Resolved,No,Call,11/5/2024,4413,6682
7748,Phone,Resolved,No,Call,10/13/2024,9756,3520
6454,Email,Escalated,Yes,In-Person,N/A,4069,2141
5362,Phone,Escalated,No,In-Person,N/A,8006,3231
2055,Chat,Pending,No,Web Chat,N/A,7964,2153
2491,Phone,Pending,Yes,In-Person,10/30/2024,3693,7281
7382,Chat,In-Progress,Yes,Call,N/A,4984,9222
3840,Chat,In-Progress,No,Web Chat,N/A,8607,1352
2619,Email,In-Progress,No,Web Chat,N/A,7332,1791
2506,Email,Escalated,Yes,Email,10/31/2024,4803,6619
5878,Email,Pending,No,Email,N/A,6673,5968
3276,Chat,Escalated,Yes,Call,N/A,3595,1094
7268,In-Person,Escalated,Yes,In-Person,N/A,9372,4734
3118,Chat,In-Progress,No,Call,11/6/2024,6077,9793
8967,Phone,Escalated,No,Email,10/30/2024,4142,8608
3981,Chat,Resolved,Yes,Call,10/11/2024,3109,2343
3596,Phone,Resolved,Yes,Web Chat,N/A,3576,9811
4258,Email,Pending,No,In-Person,N/A,8689,7962
6177,Chat,Pending,Yes,Call,N/A,5815,8653
3995,In-Person,Escalated,Yes,Call,10/28/2024,8034,4793
5709,Chat,Pending,Yes,In-Person,N/A,6817,5371
3101,In-Person,Escalated,Yes,In-Person,N/A,3465,4148
4636,In-Person,Resolved,Yes,Web Chat,10/22/2024,7614,2241
3665,Email,In-Progress,Yes,In-Person,11/6/2024,3088,9869
9559,In-Person,Pending,No,Web Chat,N/A,3752,2658
3765,Chat,Pending,Yes,Web Chat,N/A,5434,4681
9063,Email,Escalated,No,Call,N/A,4253,6496
2142,Phone,Escalated,No,In-Person,N/A,9656,1227
6187,Email,In-Progress,No,Web Chat,N/A,8650,3230
9562,Email,Pending,Yes,Email,10/18/2024,8384,4245
4445,In-Person,Escalated,No,In-Person,10/23/2024,7401,9830
4822,Chat,In-Progress,Yes,In-Person,N/A,9505,2781
2358,Chat,Resolved,No,Email,N/A,7036,6228
6221,In-Person,Pending,Yes,Email,11/1/2024,8305,1890
6190,Phone,Resolved,Yes,Email,10/25/2024,6733,5502
6041,Phone,Pending,Yes,In-Person,N/A,8323,9032
2539,Phone,Resolved,No,Web Chat,N/A,7395,2350
2546,Chat,Resolved,No,Email,10/10/2024,3882,8298
4380,Email,Escalated,Yes,Call,N/A,5765,6822
2127,Phone,Resolved,No,Call,N/A,9582,1921
9355,Email,Escalated,No,Call,10/28/2024,3674,3014
9854,In-Person,Pending,No,In-Person,11/2/2024,6906,7037
8433,Phone,Pending,Yes,Web Chat,N/A,5464,2243
7127,Email,Pending,Yes,Web Chat,10/21/2024,7962,9515
6751,Chat,In-Progress,Yes,Web Chat,N/A,9827,6560
6505,Chat,Pending,Yes,In-Person,N/A,7531,9975
8349,Phone,Escalated,Yes,Web Chat,N/A,6350,1018
9140,In-Person,In-Progress,Yes,Web Chat,10/18/2024,7776,9540
4445,In-Person,In-Progress,No,Email,11/2/2024,5872,2805
5832,Chat,In-Progress,Yes,Call,N/A,8915,9031
2989,In-Person,Escalated,No,Call,N/A,7170,5257
4250,Email,Resolved,Yes,Email,N/A,7850,4150
4903,Email,Pending,No,Web Chat,11/3/2024,9566,1562
3566,Chat,Escalated,No,Web Chat,N/A,6222,5676
2892,Email,Pending,No,Web Chat,10/31/2024,9112,8864
2240,In-Person,Resolved,No,Email,N/A,3108,4025
2969,In-Person,In-Progress,Yes,Web Chat,10/12/2024,8869,7600
2983,In-Person,Pending,No,Email,N/A,9885,5572
3416,In-Person,Escalated,No,Call,11/7/2024,8884,2740
3318,Email,Resolved,Yes,Email,10/17/2024,5452,4863
7472,Phone,Pending,Yes,Web Chat,N/A,6910,6480
7272,Email,Escalated,No,Email,10/10/2024,8148,3310
2739,Chat,Pending,Yes,Call,10/13/2024,4743,1534
8509,Email,Pending,Yes,Web Chat,11/6/2024,6121,3392
5977,Phone,Pending,Yes,Call,N/A,9028,9607
6487,In-Person,In-Progress,Yes,Call,N/A,5357,6108
5811,Email,Pending,No,Web Chat,10/19/2024,8668,2043
9864,Chat,Escalated,No,Email,10/10/2024,3662,1104
9742,Phone,Pending,No,In-Person,N/A,6039,3990
6973,Email,In-Progress,No,Email,10/15/2024,8007,4025
2634,Phone,Resolved,No,Call,10/25/2024,7725,4074
2728,Email,Pending,No,Web Chat,10/18/2024,8565,8458
2217,Chat,Pending,No,In-Person,10/24/2024,9219,5402
3085,In-Person,Resolved,Yes,Web Chat,10/24/2024,4240,9470
9644,In-Person,Pending,Yes,In-Person,10/30/2024,6522,1150
7957,Chat,Pending,Yes,Web Chat,10/28/2024,6462,4777
9559,Email,Resolved,No,Web Chat,N/A,9305,7145
3890,In-Person,Escalated,Yes,Web Chat,N/A,4474,4091
4137,In-Person,Escalated,No,Web Chat,N/A,6839,1634
7365,Phone,Resolved,No,Email,10/23/2024,4189,6042
5220,In-Person,Escalated,No,Web Chat,N/A,4225,8335
7341,Chat,Resolved,No,Web Chat,10/17/2024,7075,5238
4271,Chat,Resolved,No,Email,10/26/2024,4676,9607
8092,Chat,Escalated,No,Email,N/A,3763,4627
9278,Phone,Escalated,Yes,Call,10/20/2024,3499,6377
2439,In-Person,Escalated,Yes,Email,10/19/2024,7086,1913
2102,Email,Resolved,Yes,Web Chat,N/A,3168,9239
5309,Email,Escalated,No,Web Chat,10/13/2024,9081,6008
7552,Phone,Escalated,No,Email,10/13/2024,5849,3768
7005,Email,Escalated,No,In-Person,N/A,3123,8829
7181,Phone,Pending,Yes,In-Person,10/29/2024,4121,8468
8849,Email,In-Progress,Yes,Call,N/A,8581,5811
6061,Phone,Resolved,Yes,Web Chat,N/A,5197,5472
4970,Phone,In-Progress,No,In-Person,N/A,5036,3218
7109,Phone,Resolved,Yes,Email,N/A,4608,4129
5930,Email,Resolved,Yes,In-Person,N/A,7621,1068
4251,Email,Escalated,Yes,Call,11/5/2024,7381,5659
6289,Email,In-Progress,No,Web Chat,N/A,7676,1129
7408,Phone,Resolved,Yes,Email,N/A,4569,1948
4736,Email,In-Progress,No,In-Person,10/18/2024,4145,3874
6601,Phone,In-Progress,No,Call,11/7/2024,9269,8041
2032,Chat,Resolved,No,Email,10/11/2024,8967,5795
7152,Chat,Pending,Yes,In-Person,N/A,7101,7942
6950,Chat,In-Progress,No,Web Chat,10/31/2024,5635,7992
7808,Phone,In-Progress,Yes,In-Person,N/A,4987,7371
2533,Chat,Resolved,Yes,Email,10/16/2024,7184,3842
6809,Email,In-Progress,No,Email,10/24/2024,7952,4252
7490,In-Person,In-Progress,Yes,Email,10/9/2024,3102,9098
8642,Chat,Pending,No,In-Person,N/A,4002,2303
4663,Chat,Escalated,No,Call,N/A,9069,5139
2515,In-Person,In-Progress,Yes,In-Person,10/14/2024,3348,2795
5860,Email,Pending,No,In-Person,N/A,4000,3751
5004,Chat,In-Progress,Yes,Call,N/A,4417,9165
8663,Chat,Pending,No,In-Person,10/30/2024,6044,7371
8084,In-Person,In-Progress,Yes,Email,N/A,6682,6798
4784,Phone,Resolved,No,Call,10/24/2024,7412,6677
5546,Email,Resolved,Yes,In-Person,11/5/2024,3996,2799
4001,Phone,In-Progress,Yes,In-Person,N/A,6946,7791
4372,Email,In-Progress,Yes,Web Chat,10/15/2024,8272,3115
